 2022-10-16 14:28:50,463-Key.cmd
 2022-10-16 14:28:51,226-'b'
 2022-10-16 14:28:51,367-'l'
 2022-10-16 14:28:51,541-'o'
 2022-10-16 14:28:51,775-'c'
 2022-10-16 14:28:51,948-Key.space
 2022-10-16 14:28:52,916-Key.enter
 2022-10-16 14:28:54,533-'e'
 2022-10-16 14:28:54,729-'s'
 2022-10-16 14:28:55,041-'t'
 2022-10-16 14:28:55,280-'o'
 2022-10-16 14:28:55,468-Key.space
 2022-10-16 14:28:55,797-'e'
 2022-10-16 14:28:55,977-'s'
 2022-10-16 14:28:56,132-Key.space
 2022-10-16 14:28:56,371-'u'
 2022-10-16 14:28:56,561-'n'
 2022-10-16 14:28:56,757-'a'
 2022-10-16 14:28:56,911-Key.space
 2022-10-16 14:28:58,553-'p'
 2022-10-16 14:28:58,783-'r'
 2022-10-16 14:28:58,964-'u'
 2022-10-16 14:28:59,120-'e'
 2022-10-16 14:28:59,301-'b'
 2022-10-16 14:28:59,489-'a'
 2022-10-16 14:28:59,661-Key.space
 2022-10-16 14:29:00,423-Key.enter
 2022-10-16 14:29:01,770-'t'
 2022-10-16 14:29:02,025-'h'
 2022-10-16 14:29:02,255-'i'
 2022-10-16 14:29:02,402-'s'
 2022-10-16 14:29:02,584-Key.space
 2022-10-16 14:29:03,854-'i'
 2022-10-16 14:29:04,076-'s'
 2022-10-16 14:29:04,185-Key.space
 2022-10-16 14:29:04,380-'a'
 2022-10-16 14:29:04,493-Key.space
 2022-10-16 14:29:05,209-'t'
 2022-10-16 14:29:05,496-'e'
 2022-10-16 14:29:05,725-'s'
 2022-10-16 14:29:05,964-'t'
 2022-10-16 14:29:08,951-Key.ctrl_l
 2022-10-16 14:29:08,953-Key.shift
 2022-10-16 14:29:09,222-'\x17'
